frame,time_sec,vo_x,vo_y,vo_theta_deg,speed_kmh,steering_deg,action,alert_level,min_obs_dist,features
87,2.9,-0.11,4.66,-3.11,7,10.1,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,57
88,2.94,-0.12,4.77,-3.12,8,11.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,57
89,2.97,-0.12,4.91,-3.14,10,11.7,STEER LEFT (HAZARD AHEAD),CRITICAL,6.2,56
90,3.0,-0.13,5.06,-3.17,12,12.2,STEER LEFT (HAZARD AHEAD),CRITICAL,6.2,53
91,3.04,-0.14,5.21,-3.21,13,12.6,STEER LEFT (HAZARD AHEAD),CRITICAL,6.2,51
92,3.07,-0.15,5.33,-3.27,13,12.9,STEER LEFT (HAZARD AHEAD),CRITICAL,6.1,51
93,3.1,-0.16,5.48,-3.27,14,13.1,STEER LEFT (HAZARD AHEAD),CRITICAL,5.9,51
94,3.14,-0.17,5.63,-3.28,14,13.3,STEER LEFT (HAZARD AHEAD),CRITICAL,5.9,51
95,3.17,-0.17,5.76,-3.27,14,13.5,STEER LEFT (HAZARD AHEAD),CRITICAL,5.9,51
96,3.2,-0.18,5.9,-3.22,15,13.6,STEER LEFT (HAZARD AHEAD),CRITICAL,5.9,51
97,3.24,-0.19,6.01,-3.19,14,13.7,STEER LEFT (HAZARD AHEAD),CRITICAL,5.9,39
98,3.27,-0.19,6.1,-3.32,13,13.7,STEER LEFT (HAZARD AHEAD),CRITICAL,5.8,154
99,3.3,-0.2,6.2,-3.23,12,13.8,STEER LEFT (HAZARD AHEAD),CRITICAL,5.8,132
100,3.34,-0.2,6.31,-3.24,12,13.8,STEER LEFT (HAZARD AHEAD),CRITICAL,5.8,126
101,3.37,-0.21,6.44,-3.23,13,13.9,STEER LEFT (HAZARD AHEAD),CRITICAL,6.1,122
102,3.4,-0.22,6.53,-3.23,12,13.9,STEER LEFT (HAZARD AHEAD),CRITICAL,6.1,113
103,3.44,-0.22,6.62,-3.09,11,13.9,STEER LEFT (HAZARD AHEAD),CRITICAL,6.1,108
104,3.47,-0.23,6.71,-3.06,11,13.9,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,98
105,3.5,-0.23,6.8,-3.03,11,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,91
106,3.54,-0.24,6.89,-3.03,10,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,87
107,3.57,-0.24,7.0,-3.04,11,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,84
108,3.6,-0.25,7.1,-2.99,11,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,81
109,3.64,-0.25,7.22,-3.07,11,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,79
110,3.67,-0.26,7.34,-3.08,12,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,76
111,3.7,-0.26,7.44,-3.07,12,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,72
112,3.74,-0.27,7.5,-3.06,10,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,66
113,3.77,-0.27,7.56,-3.07,9,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,64
114,3.8,-0.27,7.62,-3.23,8,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,63
115,3.84,-0.28,7.67,-3.23,8,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,60
116,3.87,-0.28,7.73,-3.24,7,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,5.5,58
117,3.9,-0.28,7.8,-3.31,7,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,5.7,56
118,3.94,-0.29,7.84,-3.32,7,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,5.7,56
119,3.97,-0.29,7.91,-3.33,7,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,56
120,4.0,-0.29,7.97,-3.3,7,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,55
121,4.04,-0.3,8.0,-3.29,6,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,53
122,4.07,-0.3,8.04,-3.23,5,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,52
123,4.1,-0.3,8.09,-3.26,5,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,49
124,4.14,-0.3,8.14,-3.23,5,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,49
125,4.17,-0.31,8.2,-3.2,6,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,48
126,4.2,-0.31,8.26,-3.19,6,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,47
127,4.24,-0.31,8.31,-3.19,6,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,46
128,4.27,-0.32,8.36,-3.17,6,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,46
129,4.3,-0.32,8.44,-3.18,7,14.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,46
